index,word,idf
0,ability,4.102342008612249
1,able,3.3164130946013377
2,absolutely,4.795489189172194
3,ac,6.076423034634259
4,academy,5.1209115896068225
5,accepted,4.5078071167204135
6,access,4.0222993009387125
7,according,3.186051276738094
8,account,4.427764409046877
9,accused,4.427764409046877
10,achieved,4.5078071167204135
11,achievement,4.852647603012143
12,acronym,6.076423034634259
13,across,3.4663532418922527
14,act,3.9722888803640513
15,action,3.4663532418922527
16,active,4.913272224828578
17,activity,3.857219550579264
18,actor,4.189353385601879
19,actress,4.641338509344936
20,actually,3.7540353143440335
21,ad,4.852647603012143
22,adam,4.977810745966149
23,add,3.2914117923959205
24,added,2.976330745756025
25,adding,4.690128673514368
26,addition,4.130512885578946
27,additional,4.641338509344936
28,address,3.948191328784991
29,administration,4.852647603012143
30,adobe,5.287965674269989
31,adopted,4.641338509344936
32,adult,4.852647603012143
33,advance,4.048274787341974
34,advanced,4.3900240810640305
35,advantage,4.159500422452197
36,advertising,4.977810745966149
37,advice,4.594818493710044
38,affair,4.318565117081885
39,affect,4.852647603012143
40,africa,4.2518737425832125
41,african,5.1209115896068225
42,age,4.159500422452197
43,aged,5.1209115896068225
44,agency,3.924660831374797
45,ago,3.5587265620232675
46,agree,4.7414219679019185
47,agreed,4.220125044268633
48,agreement,4.795489189172194
49,agricultural,5.287965674269989
50,ahead,3.8146599361604685
51,aid,4.55036673113921
52,aim,4.466985122200159
53,aimed,4.7414219679019185
54,air,4.318565117081885
55,aircraft,4.913272224828578
56,al,5.1209115896068225
57,alan,4.690128673514368
58,algeria,5.1209115896068225
59,algerian,5.287965674269989
60,algorithm,5.287965674269989
61,allegation,5.1209115896068225
62,allergy,5.739950798013046
63,alliance,5.046803617453101
64,allied,4.3900240810640305
65,allow,3.7940406489577327
66,allowed,4.3900240810640305
67,allowing,4.690128673514368
68,allows,4.594818493710044
69,ally,4.102342008612249
70,almond,5.046803617453101
71,almost,3.4231810700270437
72,alone,4.641338509344936
73,along,3.7940406489577327
74,alongside,4.55036673113921
75,already,3.022421852956292
76,also,1.7300235776035282
77,alternative,4.3900240810640305
78,although,3.3038343123944776
79,always,3.6785277618358885
80,amateur,5.1209115896068225
81,america,4.0222993009387125
82,american,3.3420555252146755
83,ames,5.200954297280359
84,among,3.3817958538641895
85,amount,4.2518737425832125
86,amun,6.299566585948469
87,analysis,4.5078071167204135
88,analyst,4.048274787341974
89,ancient,4.427764409046877
90,animal,4.795489189172194
91,announced,3.6785277618358885
92,announcement,4.977810745966149
93,annual,4.55036673113921
94,anonymous,5.383275854074314
95,another,3.121512755600523
96,answer,3.996981492954423
97,anyone,3.3817958538641895
98,anything,3.948191328784991
99,apparently,4.55036673113921
100,appeal,4.284663565406204
101,appear,4.353656436893155
102,appearance,4.913272224828578
