index,word
0,ability
1,able
2,absolutely
3,ac
4,academy
5,accepted
6,access
7,according
8,account
9,accused
10,achieved
11,achievement
12,acronym
13,across
14,act
15,action
16,active
17,activity
18,actor
19,actress
20,actually
21,ad
22,adam
23,add
24,added
25,adding
26,addition
27,additional
28,address
29,administration
30,adobe
31,adopted
32,adult
33,advance
34,advanced
35,advantage
36,advertising
37,advice
38,affair
39,affect
40,africa
41,african
42,age
43,aged
44,agency
45,ago
46,agree
47,agreed
48,agreement
49,agricultural
50,ahead
51,aid
52,aim
53,aimed
54,air
55,aircraft
56,al
57,alan
58,algeria
59,algerian
60,algorithm
61,allegation
62,allergy
63,alliance
64,allied
65,allow
66,allowed
67,allowing
68,allows
69,ally
70,almond
71,almost
72,alone
73,along
74,alongside
75,already
76,also
77,alternative
78,although
79,always
80,amateur
81,america
82,american
83,ames
84,among
85,amount
86,amun
87,analysis
88,analyst
89,ancient
90,animal
91,announced
92,announcement
93,annual
94,anonymous
95,another
96,answer
97,anyone
98,anything
99,apparently
100,appeal
101,appear
102,appearance
103,appeared
104,apple
105,application
106,apply
107,approach
108,approximately
109,april
110,architecture
111,archive
112,area
113,argued
114,argument
115,arm
116,armistice
117,army
118,around
119,arrived
120,art
121,article
122,artillery
123,artist
124,asia
125,ask
126,asked
127,asking
128,aspect
129,assembly
130,asset
131,associated
132,association
133,asteroid
134,astronomical
135,astronomy
136,athens
137,athlete
138,athletics
139,atmosphere
140,attack
141,attacked
142,attempt
143,attention
144,attitude
145,audience
146,august
147,australia
148,australian
149,austrian
150,author
151,authority
152,available
153,avenue
154,average
155,aviation
156,avoid
157,award
158,away
159,baalke
160,back
161,background
162,bad
163,bake
164,baking
165,balance
166,balco
167,ban
168,band
169,bank
170,banned
171,base
172,based
173,basic
174,basis
175,battle
176,bay
177,bbc
178,bc
179,beat
180,beaten
181,became
182,become
183,becoming
184,began
185,begin
186,beginning
187,begun
188,behind
189,belgium
190,belief
191,believe
192,believed
193,bell
194,ben
195,benefit
196,berlin
197,best
198,bet
199,better
200,beyond
201,bid
202,big
203,biggest
204,bill
205,billion
206,birmingham
207,birth
208,bit
209,bitnet
210,black
211,blair
212,blog
213,blogger
214,blood
215,board
216,bob
217,body
218,boerse
219,bombardment
220,bond
221,book
222,boost
223,border
224,borrowing
225,bowl
226,box
227,boy
228,brand
229,bread
230,break
231,breakthrough
232,bring
233,britain
234,british
235,broadband
236,broadcast
237,broke
238,bronze
239,brother
240,brought
241,brown
242,browser
243,bruce
244,budget
245,build
246,building
247,built
248,business
249,butter
250,buy
251,ca
252,cabinet
253,cable
254,calcium
255,california
256,call
257,called
258,came
259,camera
260,camp
261,campaign
262,campbell
263,canada
264,cancer
265,candida
266,candidate
267,capability
268,capable
269,capital
270,car
271,card
272,care
273,career
274,carefully
275,carry
276,case
277,cash
278,casualty
279,category
280,cause
281,caused
282,cdc
283,celebrity
284,cell
285,center
286,central
287,centre
288,century
289,ceremony
290,certain
291,certainly
292,chain
293,chairman
294,challenge
295,chamber
296,champion
297,championship
298,chance
299,chancellor
300,change
301,changed
302,channel
303,charge
304,charged
305,charles
306,chart
307,check
308,cheese
309,chemical
310,chepkemei
311,chicago
312,chicken
313,chief
314,child
315,china
316,chinese
317,chip
318,chocolate
319,choice
320,choose
321,chopped
322,chosen
323,christian
324,christmas
325,cinema
326,citizen
327,city
328,civil
329,civilian
330,civilization
331,claim
332,claimed
333,claiming
334,clarke
335,class
336,classic
337,clear
338,clinical
339,close
340,closed
341,closer
342,coach
343,coast
344,code
345,cold
346,collection
347,college
348,collins
349,colonial
350,color
351,colour
352,combine
353,combined
354,come
355,comedy
